"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7"
"good" "no" 36 "pre.good" "personal" 2348 "woman" "not.alone"
"good" "bad.running" 36 "pre.good" "personal" 2323 "man" "not.alone"
"good" "no" 24 "pre.good" "personal" 6579 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1402 "woman" "alone"
"good" "good.running" 24 "pre.good" "personal" 4151 "man" "not.alone"
"bad" "bad.running" 27 "pre.bad" "professional" 8318 "woman" "alone"
"good" "bad.running" 24 "pre.good" "personal" 2333 "man" "not.alone"
"bad" "bad.running" 9 "pre.bad" "personal" 5129 "woman" "alone"
"good" "no" 9 "pre.good" "professional" 2799 "man" "not.alone"
"good" "good.running" 28 "pre.good" "personal" 2743 "man" "not.alone"
"bad" "no" 36 "pre.good" "personal" 2302 "man" "alone"
"good" "good.running" 11 "pre.good" "professional" 2142 "man" "alone"
"good" "good.running" 6 "pre.good" "personal" 1236 "man" "not.alone"
"bad" "bad.running" 48 "pre.good" "personal" 5096 "woman" "alone"
"good" "bad.running" 21 "pre.good" "personal" 2745 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 2223 "man" "not.alone"
"bad" "bad.running" 60 "pre.good" "professional" 4027 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 5150 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 2708 "man" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 1800 "man" "not.alone"
"good" "good.running" 15 "pre.good" "professional" 3186 "woman" "alone"
"good" "good.running" 30 "pre.good" "personal" 2831 "woman" "alone"
"bad" "no" 15 "pre.bad" "professional" 950 "man" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 3422 "man" "not.alone"
"good" "no" 18 "pre.good" "professional" 5302 "man" "not.alone"
"good" "good.running" 9 "pre.good" "personal" 2697 "man" "not.alone"
"good" "no" 24 "pre.good" "personal" 2957 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 3749 "woman" "alone"
"good" "good.running" 18 "pre.good" "personal" 1473 "woman" "not.alone"
"good" "no" 12 "pre.good" "personal" 1289 "man" "not.alone"
"good" "no" 8 "pre.good" "professional" 1164 "man" "not.alone"
"good" "no" 6 "pre.good" "personal" 1374 "man" "not.alone"
"bad" "bad.running" 15 "pre.bad" "professional" 1778 "woman" "alone"
"good" "good.running" 15 "pre.good" "personal" 2788 "woman" "alone"
"good" "bad.running" 18 "pre.good" "personal" 3872 "woman" "alone"
"good" "good.running" 36 "pre.good" "professional" 6614 "man" "not.alone"
"good" "bad.running" 10 "pre.good" "personal" 1225 "man" "not.alone"
"good" "good.running" 9 "pre.good" "personal" 1388 "woman" "alone"
"good" "bad.running" 18 "pre.good" "personal" 7374 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "personal" 3017 "woman" "alone"
"good" "bad.running" 24 "pre.good" "personal" 3148 "man" "not.alone"
"good" "no" 24 "pre.good" "personal" 4020 "man" "not.alone"
"bad" "no" 45 "pre.bad" "professional" 1816 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "professional" 1201 "man" "not.alone"
"bad" "bad.running" 18 "pre.good" "professional" 1042 "woman" "alone"
"good" "no" 12 "pre.good" "personal" 708 "man" "not.alone"
"bad" "bad.running" 36 "pre.bad" "personal" 3804 "woman" "alone"
"bad" "no" 18 "pre.good" "personal" 2462 "man" "not.alone"
"bad" "bad.running" 24 "pre.bad" "personal" 1837 "woman" "alone"
"good" "good.running" 24 "pre.good" "personal" 2058 "man" "alone"
"good" "good.running" 24 "pre.good" "personal" 3488 "woman" "alone"
"bad" "no" 48 "pre.bad" "professional" 7685 "woman" "alone"
"good" "bad.running" 6 "pre.good" "professional" 1299 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "professional" 1965 "woman" "alone"
"bad" "bad.running" 21 "pre.good" "professional" 1188 "woman" "alone"
"good" "good.running" 4 "pre.good" "professional" 3380 "woman" "alone"
"good" "bad.running" 15 "pre.good" "personal" 1308 "man" "not.alone"
"bad" "no" 36 "pre.bad" "personal" 2746 "man" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 518 "woman" "alone"
"bad" "bad.running" 24 "pre.good" "personal" 2064 "woman" "alone"
"good" "bad.running" 18 "pre.good" "personal" 3049 "woman" "alone"
"bad" "no" 12 "pre.bad" "personal" 6199 "man" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 2515 "man" "not.alone"
"good" "bad.running" 18 "pre.good" "professional" 4439 "man" "not.alone"
"good" "good.running" 30 "pre.good" "personal" 2333 "man" "not.alone"
"good" "good.running" 22 "pre.good" "professional" 1283 "woman" "alone"
"bad" "bad.running" 12 "pre.good" "personal" 639 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 2279 "man" "not.alone"
"bad" "bad.running" 9 "pre.good" "personal" 1136 "man" "not.alone"
"bad" "no" 36 "pre.good" "personal" 3446 "man" "not.alone"
"bad" "no" 30 "pre.good" "personal" 6350 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 1585 "man" "not.alone"
"bad" "bad.running" 24 "pre.good" "professional" 2718 "woman" "alone"
"good" "bad.running" 10 "pre.good" "professional" 3949 "man" "not.alone"
"good" "good.running" 4 "pre.good" "professional" 1455 "man" "not.alone"
"good" "bad.running" 27 "pre.good" "professional" 2528 "woman" "alone"
"good" "good.running" 10 "pre.good" "professional" 1597 "man" "not.alone"
"bad" "no" 12 "pre.good" "professional" 4843 "man" "not.alone"
"good" "no" 24 "pre.good" "personal" 1231 "woman" "alone"
"bad" "no" 12 "pre.good" "personal" 1282 "woman" "alone"
"good" "good.running" 10 "pre.good" "personal" 894 "woman" "alone"
"good" "no" 21 "pre.good" "professional" 571 "man" "not.alone"
"good" "bad.running" 8 "pre.good" "professional" 907 "woman" "not.alone"
"good" "bad.running" 18 "pre.good" "professional" 6260 "man" "not.alone"
"good" "good.running" 36 "pre.good" "personal" 4686 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1478 "woman" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 3850 "man" "not.alone"
"bad" "no" 18 "pre.good" "personal" 3190 "woman" "alone"
"bad" "bad.running" 18 "pre.good" "personal" 1928 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 929 "man" "not.alone"
"good" "good.running" 7 "pre.good" "personal" 730 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1471 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 3777 "man" "not.alone"
"bad" "bad.running" 12 "pre.bad" "personal" 2969 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 996 "woman" "alone"
"bad" "good.running" 18 "pre.good" "personal" 1808 "woman" "alone"
"good" "bad.running" 9 "pre.good" "professional" 3195 "woman" "alone"
"bad" "bad.running" 24 "pre.good" "professional" 1328 "man" "not.alone"
"good" "bad.running" 9 "pre.good" "personal" 2118 "man" "not.alone"
"bad" "no" 18 "pre.good" "professional" 3966 "woman" "alone"
"good" "no" 12 "pre.good" "personal" 1657 "man" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 1766 "woman" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 2284 "man" "not.alone"
"bad" "bad.running" 21 "pre.good" "personal" 2319 "man" "alone"
"good" "good.running" 12 "pre.good" "professional" 2859 "man" "not.alone"
"good" "no" 30 "pre.bad" "personal" 4583 "man" "alone"
"bad" "bad.running" 24 "pre.good" "personal" 2579 "woman" "alone"
"good" "bad.running" 45 "pre.good" "personal" 4576 "man" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 1525 "woman" "alone"
"good" "good.running" 11 "pre.good" "professional" 1393 "woman" "alone"
"bad" "no" 24 "pre.bad" "personal" 4110 "man" "not.alone"
"bad" "bad.running" 8 "pre.good" "personal" 1237 "woman" "alone"
"good" "bad.running" 18 "pre.good" "personal" 1239 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 2611 "woman" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 1238 "man" "not.alone"
"good" "bad.running" 13 "pre.good" "personal" 882 "man" "not.alone"
"bad" "good.running" 36 "pre.good" "professional" 7855 "woman" "alone"
"good" "no" 24 "pre.good" "personal" 2924 "man" "not.alone"
"bad" "bad.running" 12 "pre.good" "personal" 1922 "man" "not.alone"
"bad" "no" 24 "pre.good" "personal" 3345 "man" "not.alone"
"good" "good.running" 60 "pre.good" "professional" 366 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "professional" 2002 "man" "not.alone"
"good" "bad.running" 6 "pre.good" "personal" 2063 "woman" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 2255 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1393 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 1743 "man" "not.alone"
"good" "no" 47 "pre.good" "professional" 722 "woman" "alone"
"good" "good.running" 48 "pre.good" "personal" 222 "man" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 2463 "woman" "not.alone"
"good" "bad.running" 6 "pre.good" "personal" 368 "man" "not.alone"
"good" "bad.running" 15 "pre.good" "professional" 2326 "man" "not.alone"
"bad" "bad.running" 24 "pre.good" "personal" 1560 "woman" "alone"
"good" "good.running" 24 "pre.good" "personal" 2872 "man" "not.alone"
"good" "bad.running" 9 "pre.good" "personal" 458 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 3069 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1979 "man" "not.alone"
"bad" "bad.running" 24 "pre.good" "professional" 1344 "man" "not.alone"
"good" "bad.running" 18 "pre.good" "personal" 3213 "woman" "not.alone"
"good" "good.running" 39 "pre.good" "personal" 8588 "man" "not.alone"
"bad" "no" 36 "pre.good" "professional" 9271 "man" "not.alone"
"bad" "bad.running" 6 "pre.good" "professional" 4555 "man" "not.alone"
"bad" "good.running" 48 "pre.good" "professional" 4844 "man" "not.alone"
"good" "bad.running" 21 "pre.good" "professional" 2923 "woman" "alone"
"bad" "no" 18 "pre.good" "personal" 7511 "man" "not.alone"
"good" "bad.running" 18 "pre.good" "personal" 6204 "man" "not.alone"
"good" "no" 30 "pre.good" "personal" 3622 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 1240 "woman" "alone"
"good" "bad.running" 9 "pre.good" "professional" 276 "woman" "not.alone"
"bad" "bad.running" 27 "pre.good" "personal" 2520 "man" "not.alone"
"good" "no" 36 "pre.good" "personal" 5493 "man" "not.alone"
"bad" "no" 18 "pre.good" "personal" 1345 "woman" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 522 "man" "not.alone"
"bad" "no" 18 "pre.good" "professional" 976 "woman" "alone"
"bad" "bad.running" 45 "pre.good" "personal" 3031 "man" "not.alone"
"good" "good.running" 36 "pre.good" "personal" 8133 "woman" "alone"
"good" "good.running" 24 "pre.good" "professional" 2978 "man" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 1898 "man" "not.alone"
"bad" "good.running" 9 "pre.good" "personal" 1478 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "personal" 1804 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 5804 "man" "not.alone"
"good" "bad.running" 36 "pre.good" "personal" 2337 "man" "not.alone"
"good" "bad.running" 21 "pre.good" "professional" 3652 "man" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 2320 "woman" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 5103 "woman" "not.alone"
"bad" "no" 24 "pre.bad" "personal" 1546 "man" "not.alone"
"good" "bad.running" 11 "pre.good" "personal" 1577 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 3059 "man" "alone"
"bad" "bad.running" 54 "pre.bad" "professional" 5945 "man" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 1554 "woman" "alone"
"good" "no" 30 "pre.good" "personal" 3857 "man" "alone"
"good" "good.running" 24 "pre.good" "professional" 1469 "woman" "not.alone"
"good" "bad.running" 9 "pre.good" "personal" 1199 "woman" "alone"
"good" "bad.running" 10 "pre.bad" "personal" 1048 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "professional" 4712 "man" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 4139 "man" "not.alone"
"bad" "no" 21 "pre.bad" "professional" 1647 "man" "not.alone"
"bad" "bad.running" 12 "pre.good" "professional" 836 "woman" "alone"
"good" "good.running" 48 "pre.good" "personal" 2751 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 886 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 2141 "man" "not.alone"
"good" "bad.running" 7 "pre.good" "personal" 2576 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "personal" 1092 "woman" "alone"
"good" "bad.running" 18 "pre.good" "personal" 1795 "woman" "alone"
"good" "bad.running" 48 "pre.good" "professional" 6681 "man" "not.alone"
"good" "good.running" 30 "pre.good" "personal" 4811 "woman" "alone"
"good" "no" 24 "pre.good" "personal" 2964 "man" "not.alone"
"bad" "no" 14 "pre.good" "professional" 8978 "man" "alone"
"good" "good.running" 24 "pre.good" "personal" 3235 "man" "alone"
"bad" "good.running" 18 "pre.bad" "professional" 6458 "man" "not.alone"
"good" "bad.running" 14 "pre.good" "professional" 1410 "woman" "not.alone"
"good" "good.running" 11 "pre.good" "professional" 7228 "man" "not.alone"
"bad" "bad.running" 30 "pre.good" "professional" 1908 "man" "not.alone"
"good" "bad.running" 10 "pre.good" "personal" 1521 "man" "alone"
"bad" "bad.running" 15 "pre.good" "professional" 2631 "woman" "alone"
"good" "no" 15 "pre.good" "personal" 1053 "woman" "not.alone"
"good" "no" 18 "pre.good" "personal" 2389 "woman" "alone"
"bad" "no" 24 "pre.good" "personal" 1282 "woman" "alone"
"good" "good.running" 12 "pre.good" "professional" 1101 "woman" "not.alone"
"good" "good.running" 12 "pre.good" "professional" 640 "man" "alone"
"bad" "no" 12 "pre.good" "personal" 795 "woman" "alone"
"good" "good.running" 15 "pre.good" "personal" 2186 "woman" "alone"
"good" "bad.running" 12 "pre.good" "professional" 1037 "man" "not.alone"
"good" "good.running" 12 "pre.good" "professional" 3527 "man" "not.alone"
"bad" "no" 9 "pre.good" "professional" 654 "man" "not.alone"
"good" "no" 13 "pre.good" "professional" 1797 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1262 "man" "not.alone"
"bad" "no" 48 "pre.good" "personal" 6999 "woman" "not.alone"
"good" "no" 24 "pre.bad" "personal" 2483 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 1311 "woman" "not.alone"
"good" "good.running" 18 "pre.good" "personal" 1169 "man" "not.alone"
"good" "good.running" 36 "pre.good" "professional" 3079 "man" "not.alone"
"bad" "bad.running" 72 "pre.good" "personal" 5595 "woman" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1493 "woman" "alone"
"good" "bad.running" 36 "pre.good" "personal" 6948 "man" "not.alone"
"bad" "no" 28 "pre.good" "professional" 4006 "man" "not.alone"
"good" "bad.running" 9 "pre.good" "personal" 1082 "man" "not.alone"
"bad" "bad.running" 45 "pre.good" "personal" 4746 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "personal" 585 "woman" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1592 "woman" "alone"
"good" "bad.running" 48 "pre.bad" "professional" 2204 "man" "not.alone"
"good" "good.running" 48 "pre.good" "personal" 2749 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 874 "woman" "alone"
"good" "no" 24 "pre.bad" "professional" 2325 "man" "not.alone"
"good" "bad.running" 7 "pre.good" "personal" 2329 "woman" "alone"
"bad" "no" 48 "pre.bad" "personal" 7119 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 5152 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 707 "man" "not.alone"
"good" "no" 18 "pre.good" "personal" 3509 "woman" "alone"
"good" "bad.running" 36 "pre.good" "professional" 9857 "man" "not.alone"
"good" "good.running" 12 "pre.good" "professional" 1412 "woman" "alone"
"bad" "bad.running" 36 "pre.good" "professional" 4455 "man" "alone"
"bad" "bad.running" 12 "pre.good" "personal" 766 "man" "not.alone"
"bad" "no" 20 "pre.good" "professional" 2235 "woman" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1300 "man" "not.alone"
"bad" "bad.running" 36 "pre.good" "personal" 2612 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1520 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "professional" 6967 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "professional" 1995 "man" "not.alone"
"good" "good.running" 9 "pre.good" "professional" 2507 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 6842 "man" "not.alone"
"good" "no" 11 "pre.good" "professional" 3905 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1258 "woman" "alone"
"good" "no" 15 "pre.good" "professional" 2511 "woman" "alone"
"good" "no" 6 "pre.good" "professional" 3676 "man" "not.alone"
"good" "bad.running" 18 "pre.good" "personal" 3001 "woman" "alone"
"good" "bad.running" 15 "pre.good" "professional" 2687 "man" "not.alone"
"bad" "no" 18 "pre.good" "personal" 2600 "man" "not.alone"
"good" "bad.running" 48 "pre.bad" "professional" 2169 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 960 "woman" "alone"
"good" "bad.running" 18 "pre.bad" "personal" 3244 "woman" "alone"
"good" "good.running" 24 "pre.good" "personal" 5433 "woman" "alone"
"good" "bad.running" 42 "pre.bad" "professional" 6289 "man" "alone"
"good" "good.running" 18 "pre.good" "personal" 629 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 1376 "woman" "alone"
"good" "good.running" 24 "pre.good" "personal" 4679 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 1736 "woman" "alone"
"good" "good.running" 12 "pre.good" "professional" 1076 "woman" "not.alone"
"good" "good.running" 4 "pre.good" "personal" 1503 "man" "not.alone"
"bad" "good.running" 24 "pre.good" "professional" 4591 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 2221 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 804 "man" "not.alone"
"good" "no" 18 "pre.good" "personal" 2659 "man" "not.alone"
"bad" "no" 9 "pre.good" "professional" 1422 "man" "not.alone"
"bad" "no" 12 "pre.bad" "professional" 697 "man" "not.alone"
"good" "no" 15 "pre.good" "professional" 806 "woman" "alone"
"good" "no" 9 "pre.good" "personal" 1288 "man" "not.alone"
"good" "bad.running" 12 "pre.bad" "personal" 409 "woman" "alone"
"good" "good.running" 12 "pre.good" "personal" 2748 "woman" "alone"
"good" "good.running" 6 "pre.good" "personal" 660 "woman" "not.alone"
"bad" "no" 36 "pre.good" "personal" 9629 "man" "not.alone"
"bad" "no" 42 "pre.good" "personal" 3965 "man" "not.alone"
"good" "bad.running" 30 "pre.good" "personal" 3832 "woman" "not.alone"
"bad" "no" 36 "pre.good" "personal" 6229 "woman" "alone"
"good" "no" 18 "pre.good" "personal" 1936 "woman" "not.alone"
"bad" "good.running" 48 "pre.good" "professional" 3914 "man" "alone"
"good" "bad.running" 24 "pre.good" "professional" 3512 "man" "not.alone"
"good" "no" 6 "pre.good" "personal" 343 "woman" "alone"
"good" "good.running" 18 "pre.good" "professional" 1028 "woman" "alone"
"good" "bad.running" 12 "pre.good" "personal" 1158 "man" "alone"
"bad" "bad.running" 12 "pre.good" "personal" 951 "woman" "alone"
"bad" "bad.running" 12 "pre.good" "professional" 685 "woman" "not.alone"
"good" "good.running" 21 "pre.good" "professional" 1572 "woman" "alone"
"good" "bad.running" 15 "pre.good" "personal" 1444 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "professional" 6078 "man" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 2375 "man" "not.alone"
"bad" "bad.running" 24 "pre.bad" "professional" 4241 "man" "not.alone"
"bad" "no" 21 "pre.good" "personal" 3414 "man" "not.alone"
"good" "good.running" 27 "pre.good" "personal" 4526 "man" "not.alone"
"bad" "bad.running" 30 "pre.good" "professional" 2150 "woman" "alone"
"bad" "bad.running" 6 "pre.good" "professional" 1209 "man" "not.alone"
"good" "good.running" 10 "pre.good" "professional" 1418 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 4042 "man" "not.alone"
"bad" "bad.running" 30 "pre.good" "personal" 3441 "woman" "alone"
"good" "no" 12 "pre.bad" "personal" 339 "woman" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 7758 "woman" "alone"
"good" "no" 10 "pre.good" "professional" 1038 "man" "not.alone"
"good" "bad.running" 21 "pre.good" "professional" 2353 "man" "alone"
"good" "bad.running" 9 "pre.good" "personal" 1206 "woman" "alone"
"bad" "bad.running" 12 "pre.good" "personal" 1534 "woman" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 1258 "woman" "alone"
"good" "no" 21 "pre.good" "personal" 2606 "woman" "alone"
"bad" "no" 21 "pre.good" "personal" 1835 "woman" "alone"
"good" "bad.running" 60 "pre.good" "personal" 7418 "man" "not.alone"
"bad" "good.running" 6 "pre.good" "personal" 4611 "woman" "alone"
"good" "no" 20 "pre.good" "personal" 2212 "man" "not.alone"
"bad" "bad.running" 60 "pre.good" "personal" 6288 "man" "not.alone"
"good" "good.running" 36 "pre.good" "personal" 1054 "man" "not.alone"
"good" "no" 30 "pre.good" "personal" 2522 "man" "not.alone"
"good" "good.running" 24 "pre.bad" "professional" 1559 "man" "not.alone"
"good" "good.running" 12 "pre.good" "personal" 2171 "woman" "alone"
"bad" "no" 12 "pre.good" "professional" 1274 "woman" "alone"
"good" "bad.running" 12 "pre.good" "personal" 3399 "man" "not.alone"
"bad" "bad.running" 18 "pre.good" "professional" 884 "man" "not.alone"
"good" "good.running" 30 "pre.good" "personal" 4530 "woman" "alone"
"bad" "no" 36 "pre.good" "personal" 8335 "man" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 4526 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "personal" 4351 "woman" "alone"
"good" "good.running" 30 "pre.good" "personal" 3077 "man" "not.alone"
"good" "bad.running" 15 "pre.good" "personal" 1514 "man" "not.alone"
"good" "good.running" 10 "pre.good" "professional" 1287 "man" "not.alone"
"good" "good.running" 12 "pre.bad" "personal" 3447 "woman" "alone"
"bad" "no" 12 "pre.good" "personal" 674 "woman" "not.alone"
"good" "no" 12 "pre.good" "personal" 3590 "man" "not.alone"
"bad" "bad.running" 24 "pre.good" "personal" 4057 "man" "alone"
"good" "bad.running" 20 "pre.good" "personal" 6468 "man" "alone"
"good" "good.running" 27 "pre.good" "personal" 5190 "man" "not.alone"
"good" "bad.running" 24 "pre.good" "professional" 3878 "man" "alone"
"bad" "no" 24 "pre.bad" "professional" 3161 "man" "not.alone"
"good" "bad.running" 6 "pre.good" "personal" 1050 "man" "not.alone"
"good" "bad.running" 6 "pre.good" "professional" 1323 "man" "alone"
"bad" "bad.running" 9 "pre.good" "personal" 918 "woman" "alone"
"good" "no" 12 "pre.good" "personal" 1526 "man" "not.alone"
"good" "bad.running" 12 "pre.good" "professional" 2247 "woman" "alone"
"good" "no" 6 "pre.good" "professional" 666 "woman" "alone"
"good" "good.running" 36 "pre.bad" "personal" 2613 "man" "not.alone"
"good" "bad.running" 6 "pre.good" "professional" 709 "woman" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 1552 "man" "not.alone"
"good" "good.running" 24 "pre.good" "personal" 2679 "woman" "alone"
"bad" "no" 48 "pre.good" "personal" 297 "man" "not.alone"
"good" "good.running" 15 "pre.good" "personal" 1316 "woman" "not.alone"
"good" "good.running" 18 "pre.good" "professional" 1055 "woman" "alone"
"good" "good.running" 42 "pre.good" "personal" 7166 "woman" "not.alone"
"good" "good.running" 24 "pre.good" "professional" 1940 "man" "not.alone"
"good" "good.running" 6 "pre.good" "personal" 2978 "man" "not.alone"
"bad" "no" 30 "pre.good" "personal" 2406 "woman" "alone"
"good" "bad.running" 18 "pre.good" "professional" 1887 "woman" "not.alone"
"bad" "no" 24 "pre.bad" "personal" 3349 "man" "not.alone"
"good" "bad.running" 13 "pre.good" "personal" 2101 "woman" "alone"
"good" "no" 24 "pre.good" "personal" 4169 "man" "not.alone"
"good" "no" 15 "pre.good" "personal" 1478 "man" "not.alone"
"bad" "no" 36 "pre.good" "personal" 8065 "woman" "alone"
"good" "good.running" 6 "pre.good" "personal" 1538 "woman" "alone"
"bad" "no" 15 "pre.good" "personal" 1275 "woman" "alone"
"good" "no" 6 "pre.good" "personal" 1872 "man" "not.alone"
"good" "bad.running" 18 "pre.good" "personal" 1301 "woman" "not.alone"
"good" "no" 15 "pre.good" "professional" 1403 "woman" "alone"
"good" "bad.running" 24 "pre.good" "personal" 3758 "woman" "alone"
"good" "good.running" 24 "pre.good" "professional" 717 "woman" "not.alone"
"good" "bad.running" 10 "pre.good" "personal" 1275 "woman" "alone"
